Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Manama,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,33.5,96,Moderate,33.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,32.5,94,Moderate,31.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,32.7,94,Moderate,33.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,36.6,104,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,37.1,105,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,40.0,112,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,42.9,119,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,43.6,121,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,43.8,121,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,43.4,120,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,38.5,108,Unhealthy for Sensitive Groups,30.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,30.6,90,Moderate,24.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,32.7,94,Moderate,35.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,33.3,96,Moderate,34.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,34.6,98,Moderate,36.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,30.9,91,Moderate,27.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,27.5,83,Moderate,24.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,23.7,75,Moderate,20.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,20.8,69,Moderate,18.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,18.9,65,Moderate,17.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,19.9,67,Moderate,21.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,19.9,67,Moderate,20.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,19.4,66,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,17.7,63,Moderate,16.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,20.8,69,Moderate,24.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,23.4,75,Moderate,26.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,21.2,70,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,20.3,68,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 05:00 AM,2020,01,02,05,21.3,70,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 06:00 AM,2020,01,02,06,24.2,76,Moderate,28.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 07:00 AM,2020,01,02,07,25.4,79,Moderate,27.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 08:00 AM,2020,01,02,08,26.1,80,Moderate,27.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 09:00 AM,2020,01,02,09,26.9,82,Moderate,28.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 10:00 AM,2020,01,02,10,26.5,81,Moderate,26.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 11:00 AM,2020,01,02,11,25.0,78,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 12:00 PM,2020,01,02,12,23.5,75,Moderate,20.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 01:00 PM,2020,01,02,13,19.0,66,Moderate,15.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 02:00 PM,2020,01,02,14,22.2,72,Moderate,26.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 03:00 PM,2020,01,02,15,24.9,78,Moderate,28.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 04:00 PM,2020,01,02,16,23.1,74,Moderate,21.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 05:00 PM,2020,01,02,17,23.5,75,Moderate,24.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 06:00 PM,2020,01,02,18,22.8,74,Moderate,22.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 07:00 PM,2020,01,02,19,21.0,70,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 08:00 PM,2020,01,02,20,22.4,73,Moderate,24.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 09:00 PM,2020,01,02,21,22.2,72,Moderate,22.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 10:00 PM,2020,01,02,22,22.1,72,Moderate,22.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-02 11:00 PM,2020,01,02,23,22.5,73,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 12:00 AM,2020,01,03,00,20.8,69,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 01:00 AM,2020,01,03,01,19.4,66,Moderate,17.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 02:00 AM,2020,01,03,02,20.4,68,Moderate,22.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 03:00 AM,2020,01,03,03,20.4,68,Moderate,20.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 04:00 AM,2020,01,03,04,21.4,71,Moderate,24.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 05:00 AM,2020,01,03,05,21.9,72,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 06:00 AM,2020,01,03,06,23.9,76,Moderate,27.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 07:00 AM,2020,01,03,07,24.3,77,Moderate,25.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 08:00 AM,2020,01,03,08,30.4,89,Moderate,36.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 09:00 AM,2020,01,03,09,27.7,84,Moderate,25.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 10:00 AM,2020,01,03,10,27.8,84,Moderate,28.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 11:00 AM,2020,01,03,11,24.9,78,Moderate,22.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 12:00 PM,2020,01,03,12,31.4,92,Moderate,38.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 01:00 PM,2020,01,03,13,31.5,92,Moderate,32.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 02:00 PM,2020,01,03,14,32.2,93,Moderate,33.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 03:00 PM,2020,01,03,15,31.1,91,Moderate,30.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 04:00 PM,2020,01,03,16,28.1,85,Moderate,24.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 05:00 PM,2020,01,03,17,25.9,80,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 06:00 PM,2020,01,03,18,29.3,87,Moderate,34.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 07:00 PM,2020,01,03,19,30.0,89,Moderate,31.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 08:00 PM,2020,01,03,20,32.1,93,Moderate,35.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 09:00 PM,2020,01,03,21,32.9,95,Moderate,34.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 10:00 PM,2020,01,03,22,32.5,94,Moderate,32.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-03 11:00 PM,2020,01,03,23,31.1,91,Moderate,29.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 12:00 AM,2020,01,04,00,31.4,92,Moderate,32.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 01:00 AM,2020,01,04,01,31.6,92,Moderate,32.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 02:00 AM,2020,01,04,02,32.1,93,Moderate,33.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 03:00 AM,2020,01,04,03,34.0,97,Moderate,37.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 04:00 AM,2020,01,04,04,36.7,104,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 05:00 AM,2020,01,04,05,34.1,97,Moderate,31.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 06:00 AM,2020,01,04,06,32.3,93,Moderate,28.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 07:00 AM,2020,01,04,07,31.3,91,Moderate,29.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 08:00 AM,2020,01,04,08,29.7,88,Moderate,27.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 09:00 AM,2020,01,04,09,26.4,81,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 10:00 AM,2020,01,04,10,24.9,78,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 11:00 AM,2020,01,04,11,39.6,111,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 12:00 PM,2020,01,04,12,140.8,195,Unhealthy,242.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 01:00 PM,2020,01,04,13,207.4,257,Very Unhealthy,274.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 02:00 PM,2020,01,04,14,245.2,295,Very Unhealthy,283.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 03:00 PM,2020,01,04,15,256.6,307,Hazardous,268.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 04:00 PM,2020,01,04,16,261.8,312,Hazardous,267.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 05:00 PM,2020,01,04,17,258.4,309,Hazardous,255.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 06:00 PM,2020,01,04,18,230.7,280,Very Unhealthy,203.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 07:00 PM,2020,01,04,19,152.3,203,Very Unhealthy,74.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 08:00 PM,2020,01,04,20,99.6,174,Unhealthy,47.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 09:00 PM,2020,01,04,21,85.3,166,Unhealthy,71.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 10:00 PM,2020,01,04,22,73.6,160,Unhealthy,62.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-04 11:00 PM,2020,01,04,23,62.3,155,Unhealthy,51.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 12:00 AM,2020,01,05,00,57.1,152,Unhealthy,52.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 01:00 AM,2020,01,05,01,51.5,140,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 02:00 AM,2020,01,05,02,52.2,142,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 03:00 AM,2020,01,05,03,42.5,118,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 04:00 AM,2020,01,05,04,32.2,93,Moderate,22.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 05:00 AM,2020,01,05,05,26.1,80,Moderate,20.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 06:00 AM,2020,01,05,06,21.5,71,Moderate,17.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 07:00 AM,2020,01,05,07,19.7,67,Moderate,18.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 08:00 AM,2020,01,05,08,17.8,63,Moderate,16.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 09:00 AM,2020,01,05,09,14.4,56,Moderate,11.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 10:00 AM,2020,01,05,10,17.7,63,Moderate,21.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 11:00 AM,2020,01,05,11,16.3,60,Moderate,15.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 12:00 PM,2020,01,05,12,14.1,55,Moderate,12.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 01:00 PM,2020,01,05,13,13.0,53,Moderate,12.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 02:00 PM,2020,01,05,14,14.5,56,Moderate,16.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 03:00 PM,2020,01,05,15,16.2,60,Moderate,18.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 04:00 PM,2020,01,05,16,16.0,59,Moderate,16.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 05:00 PM,2020,01,05,17,16.0,59,Moderate,16.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 06:00 PM,2020,01,05,18,20.0,68,Moderate,24.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 07:00 PM,2020,01,05,19,19.0,66,Moderate,18.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 08:00 PM,2020,01,05,20,22.0,72,Moderate,25.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 09:00 PM,2020,01,05,21,26.0,80,Moderate,30.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 10:00 PM,2020,01,05,22,29.5,88,Moderate,33.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-05 11:00 PM,2020,01,05,23,31.7,92,Moderate,34.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 12:00 AM,2020,01,06,00,32.8,95,Moderate,34.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 01:00 AM,2020,01,06,01,35.9,102,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 02:00 AM,2020,01,06,02,38.4,108,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 03:00 AM,2020,01,06,03,42.7,119,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 04:00 AM,2020,01,06,04,45.8,126,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 05:00 AM,2020,01,06,05,35.9,102,Unhealthy for Sensitive Groups,26.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 06:00 AM,2020,01,06,06,30.9,91,Moderate,26.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 07:00 AM,2020,01,06,07,26.9,82,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 08:00 AM,2020,01,06,08,26.4,81,Moderate,26.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 09:00 AM,2020,01,06,09,24.7,77,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 10:00 AM,2020,01,06,10,23.8,76,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 11:00 AM,2020,01,06,11,23.4,75,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 12:00 PM,2020,01,06,12,21.7,71,Moderate,20.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 01:00 PM,2020,01,06,13,18.3,64,Moderate,15.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 02:00 PM,2020,01,06,14,16.1,59,Moderate,14.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 03:00 PM,2020,01,06,15,19.5,67,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 04:00 PM,2020,01,06,16,18.3,64,Moderate,17.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 05:00 PM,2020,01,06,17,20.0,68,Moderate,22.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 06:00 PM,2020,01,06,18,20.9,70,Moderate,22.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 07:00 PM,2020,01,06,19,20.0,68,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 08:00 PM,2020,01,06,20,18.8,65,Moderate,17.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 09:00 PM,2020,01,06,21,18.1,64,Moderate,17.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 10:00 PM,2020,01,06,22,18.4,64,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-06 11:00 PM,2020,01,06,23,19.0,66,Moderate,20.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 12:00 AM,2020,01,07,00,20.2,68,Moderate,22.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 01:00 AM,2020,01,07,01,21.3,70,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 02:00 AM,2020,01,07,02,20.0,68,Moderate,18.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 03:00 AM,2020,01,07,03,19.7,67,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 04:00 AM,2020,01,07,04,21.4,71,Moderate,25.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 05:00 AM,2020,01,07,05,23.6,75,Moderate,27.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 06:00 AM,2020,01,07,06,23.3,75,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 07:00 AM,2020,01,07,07,24.7,77,Moderate,27.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 08:00 AM,2020,01,07,08,29.0,87,Moderate,33.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 09:00 AM,2020,01,07,09,27.5,83,Moderate,26.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 10:00 AM,2020,01,07,10,26.8,82,Moderate,26.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 11:00 AM,2020,01,07,11,27.3,83,Moderate,28.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 12:00 PM,2020,01,07,12,26.2,81,Moderate,25.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 01:00 PM,2020,01,07,13,24.7,77,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 02:00 PM,2020,01,07,14,23.6,75,Moderate,22.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 03:00 PM,2020,01,07,15,24.4,77,Moderate,25.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 04:00 PM,2020,01,07,16,23.1,74,Moderate,21.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 05:00 PM,2020,01,07,17,24.1,76,Moderate,26.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 06:00 PM,2020,01,07,18,22.5,73,Moderate,20.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 07:00 PM,2020,01,07,19,20.3,68,Moderate,18.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 08:00 PM,2020,01,07,20,19.8,67,Moderate,18.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 09:00 PM,2020,01,07,21,19.5,67,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 10:00 PM,2020,01,07,22,19.3,66,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-07 11:00 PM,2020,01,07,23,19.3,66,Moderate,19.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 12:00 AM,2020,01,08,00,20.4,68,Moderate,23.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 01:00 AM,2020,01,08,01,29.5,88,Moderate,38.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 02:00 AM,2020,01,08,02,130.2,190,Unhealthy,231.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 03:00 AM,2020,01,08,03,110.1,179,Unhealthy,90.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 04:00 AM,2020,01,08,04,96.5,172,Unhealthy,83.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 05:00 AM,2020,01,08,05,80.7,164,Unhealthy,65.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 06:00 AM,2020,01,08,06,60.4,154,Unhealthy,40.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 07:00 AM,2020,01,08,07,48.7,134,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 08:00 AM,2020,01,08,08,41.8,117,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 09:00 AM,2020,01,08,09,40.9,114,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 10:00 AM,2020,01,08,10,37.9,107,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 11:00 AM,2020,01,08,11,33.4,96,Moderate,29.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 12:00 PM,2020,01,08,12,30.2,89,Moderate,27.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 01:00 PM,2020,01,08,13,28.6,86,Moderate,27.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 02:00 PM,2020,01,08,14,28.7,86,Moderate,29.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 03:00 PM,2020,01,08,15,26.8,82,Moderate,25.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 04:00 PM,2020,01,08,16,26.9,82,Moderate,27.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 05:00 PM,2020,01,08,17,27.6,84,Moderate,28.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 06:00 PM,2020,01,08,18,28.5,85,Moderate,30.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 07:00 PM,2020,01,08,19,28.6,86,Moderate,29.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 08:00 PM,2020,01,08,20,27.2,83,Moderate,25.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 09:00 PM,2020,01,08,21,27.6,84,Moderate,28.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 10:00 PM,2020,01,08,22,27.3,83,Moderate,26.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-08 11:00 PM,2020,01,08,23,28.9,86,Moderate,34.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-09 12:00 AM,2020,01,09,00,29.0,87,Moderate,29.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-09 01:00 AM,2020,01,09,01,29.8,88,Moderate,32.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-09 02:00 AM,2020,01,09,02,32.3,93,Moderate,37.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-09 03:00 AM,2020,01,09,03,33.9,97,Moderate,37.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-09 04:00 AM,2020,01,09,04,33.3,96,Moderate,32.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2020-01-09 05:00 AM,2020,01,09,05,33.5,96,Moderate,34.0,UG/M3,1 Hr,Valid
